// Attribute descriptions
"Attrib_ClipSize_Positive"					"+%s% clip size"
"Attrib_StickiesDetonateStickies"			"Able to destroy enemy stickybombs"
"Attrib_SpeedBoostWhenActive"				"%s% speed boost while active weapon"
"Attrib_WrenchBuildsMiniSentry"				"Replaces the Sentry with a Mini-Sentry"
"Attrib_GunslingerPunchCombo"				"Third successful punch in a row always crits"
"Attrib_ProvideOnActive"					"When weapon is active:"
"Attrib_MedicRegenBonus"					"+%s% natural regen rate"
"Attrib_MedicRegenPenalty"					"-%s% natural regen rate"
"Attrib_Community_Description"				"Given to valuable Community Contributors"
"Attrib_MedalIndex_Description"				"Medal no. %s"
"Attrib_RocketJumpDmgReduction"				"%s% blast damage from rocket jumps"
"Attrib_Selfmade_Description"				"I made this!"
"Attrib_SetItemTintRGB"						"Item tint color code: %s"
"Attrib_SentryKilledRevenge"				"Gain 2 revenge crits for each sentry kill and\n1 for each sentry assist when your sentry is destroyed"
"Attrib_LoseRevengeCritsOnDeath"			"Revenge crits are lost on death"
"Attrib_ExtinguishRevenge"					"Alt-Fire: Extinguish teammates to gain guaranteed critical hits"
"Attrib_BurnDamageEarnsRage"				"Build 'Mmmph' by dealing damage.\nAlt-Fire on full 'Mmmph': Taunt to gain crit for several seconds.\nInvulnerable while 'Mmmph' taunting."
"Attrib_DmgVsBuilding_Increased"			"+%s% damage vs buildings"
"Attrib_DmgVsBuilding_decreased"			"%s% damage penalty vs buildings"
"Attrib_DmgVsPlayer_Decreased"				"%s% damage vs players"
"Attrib_LunchboxAddsMaxHealth"				"Adds +50 max health for 30 seconds"
"Attrib_LunchboxAddsMinicrits"				"Sets weapon mode #%s"
"Attrib_EmployeeNumber"						"Hire Date: %s"
"Attrib_WrenchNumber"						"Wrench no. %s"
"Attrib_DmgAppliesToSappers"				"Damage removes Sappers"
"Attrib_BuildingCostReduction"				"%s metal reduction in building cost"
"Attrib_BleedingDuration"					"On Hit: Bleed for %s seconds"
"Attrib_TurnToGold"							"Imbued with an ancient power"
"Attrib_CustomTexture"						"Custom Texture"
"Attrib_NoiseMaker"							"Noise Maker"
"Attrib_Always_Tradable"					"Always Tradable"
"Attrib_CannotTrade"						"Not Tradable or Marketable"
"Attrib_CannotTradeOrCraft"					"Not Tradable, Marketable, or Usable in Crafting"
"Attrib_NonEconomyItem"						"Not Tradable, Marketable, Usable in Crafting, or Gift Wrappable"
"Attrib_DisguiseOnBackstab"					"Upon a successful backstab against a human target, you rapidly disguise as your victim"
"Attrib_CannotDisguise"						"Wearer cannot disguise"
"Attrib_SilentKiller"						"Silent Killer: No attack noise from backstabs"
"Attrib_DisguiseSpeedPenalty"				"%s sec slower disguise speed"
"Attrib_DisguiseNoBurn"						"Immune to fire damage while disguised"
"Attrib_AddCloakOnKill"						"+%s% cloak on kill"
"Attrib_AddCloakOnHit"						"+%s% cloak on hit"
"Attrib_CloakBlinkTimePenalty"				"%s sec longer cloak blink time"
"Attrib_QuietUnstealth"						"Reduced decloak sound volume"
"Attrib_FlameSize_Negative"					"%s% less flame spread area"
"Attrib_FlameSize_Positive"					"+%s% more flame spread area"
"Attrib_FlameLife_Negative"					"%s% less flame distance"
"Attrib_FlameLife_Positive"					"+%s% more flame distance"
"Attrib_ChargedAirblast"					"Airblast can now be charged, which will push enemies further"
"Attrib_AirblastDisabled"					"No airblast"
"Attrib_DmgFromSentryReduced"				"+%s% sentry damage resistance on wearer"
"Attrib_AirblastCost_Increased"				"+%s% airblast cost"
"Attrib_AirblastCost_Decreased"				"%s% airblast cost"
"Attrib_ExtinguishRestoresHealth"			"Extinguishing teammates restores %s health"
"Attrib_ExtinguishReducesCooldown"			"Extinguishing teammates reduces cooldown by %s%"
"Attrib_Purchased"							"Purchased: Not Tradable, Marketable, or Usable in Crafting"
"Attrib_Promotion"							"Store Promotion Item: Not Tradable or Marketable"
"Attrib_InUse"								"Currently In Use"
"Attrib_SpecialItem"						"Not Tradable, Marketable, or Usable in Crafting"
"Attrib_FlameAmmoPerSec_Increased"			"+%s% flamethrower ammo consumed per second"
"Attrib_FlameAmmoPerSec_Decreased"			"%s% flamethrower ammo consumed per second"
"Attrib_JarateDuration"						"On Scoped Hit: Apply Jarate for 2 to %s seconds based on charge level.\nNature's Call: Scoped headshots always mini-crit and reduce the remaining cooldown of Jarate by 1 second."
"Attrib_NoDeathFromHeadshots"				"The wearer cannot be killed by headshots"
"Attrib_AchievementItem"					"Achievement Item: Not Tradable or Marketable"
"Attrib_UntradableFreeContractReward"		"Free Contract Reward: Not Tradable or Marketable"
"Attrib_CannotCraft"						"Not Usable in Crafting"
"Attrib_CannotCraftWeapons"					"Weapons Are Not Usable in Crafting"
"Attrib_DeployTime_Increased"				"%s% longer weapon switch"
"Attrib_DeployTime_Decreased"				"%s% faster weapon switch"
"Attrib_SingleWepDeployBonus"				"This weapon deploys %s% faster"
"Attrib_SingleWepHolsterBonus"				"This weapon holsters %s% faster"
"Attrib_SingleWepDeployPenalty"				"This weapon deploys %s% slower"
"Attrib_SingleWepHolsterPenalty"			"This weapon holsters %s% slower"
"Attrib_RocketJump_DeployTime_DecreasedSingle"	"Deploys %s% faster while rocket jumping"
"Attrib_MinicritsBecomeCrits"				"Crits whenever it would normally mini-crit"
"Attrib_CritsBecomeMinicrits"				"Minicrits whenever it would normally crit"
"Attrib_HealOnKill"							"+%s health restored on kill"
"Attrib_NoSelfBlastDmg"						"No self inflicted blast damage taken"
"Attrib_Slow_Enemy_OnHit_Major"				"On Hit: Slow target movement by 40% for %ss"
"Attrib_LimitedUse"							"This is a limited use item. Uses: %s"
"Attrib_EventDate"							"Date Received: %s"
"Attrib_GifterAccountID"					"\nGift from: %s"
"Attrib_MvMLootReceiverAccountID"			"Awarded to %s"
"Attrib_AttachedParticle"					"★ Unusual Effect: %s"
"Attrib_SupplyCrateSeries"					"Crate Series #%s"
"Attrib_PreserveUbercharge"					"On death up to %s% of your stored\nÜberCharge is retained"
"Attrib_ReferencedItem"						"Contains: %s"
"Attrib_Renamed"							"This item has been renamed.\nOriginal name: \"%s\""
"Attrib_CustomDesc"							"This item has a user written description:"
"Attrib_Halloween_Item"						"This is a special Halloween %s item"
"Attrib_MapDonation"						"%s-%s"
"Attrib_NewUsersHelped"						"New Users Helped: %s"
"Attrib_FiresHealingBolts"					"Fires special bolts that heal teammates and deal damage based on distance traveled"
"Attrib_EnablesAOEHeal"						"Alt-Fire: Applies a healing effect to all nearby teammates"
"Attrib_ChargeTime_Increase"				"%s sec increase in charge duration"
"Attrib_ChargeTime_Decrease"				"%s sec decrease in charge duration"
"Attrib_DropHealthPackOnKill"				"On Kill: A small health pack is dropped"
"Attrib_HitSelfOnMiss"						"On Miss: Hit yourself. Idiot."
"Attrib_DmgFromRanged_Reduced"				"%s% damage from ranged sources while active"
"Attrib_DmgFromMelee_Increased"				"+%s% damage from melee sources while active"
"Attrib_BlastDamageToSelf_Increased"		"+%s% damage to self"
"Attrib_SetDamageType_Ignite"				"On Hit: target is engulfed in flames"
"Attrib_Minicrit_Vs_Burning_Player"			"100% mini-crits vs burning players"
"Attrib_TradableAfterDate"					"\nTradable After: %s"
"Attrib_ToolEscrowUntilDate"				"Usable After: %s"
"Attrib_Store_TradableAfterDate"			"Becomes Tradable After a Few Days"
"Attrib_Store_ToolEscrowUntilDate"			"Becomes Usable After a Few Days"
"Attrib_Store_IncludesSteamGiftPackage"		"( Includes Steam Gift Copy of \"%s\" )"
"Attrib_Store_Purchased"					"Will Not Be Tradable, Marketable, or Usable in Crafting"
"Attrib_Sanguisuge"							"On Backstab: Absorbs the health from your victim"
"Attrib_Honorbound"							"Honorbound: Once drawn sheathing deals 50 damage to yourself unless it kills"
"Attrib_MarkForDeath"						"On Hit: One target at a time is Marked-For-Death, causing all damage taken to be mini-crits"
"Attrib_RestoreHealthOnKill"				"Gain %s% of base health on kill"
"Attrib_MultSniperChargeAfterBodyshot"		"On Scoped Bodyshot: Rifle charge rate increased by %s%"
"Attrib_MultSniperChargeAfterMiss"			"On Scoped Miss: Rifle charge rate decreased by %s%"
"Attrib_MultSniperChargeAfterHeadshot"		"On Scoped Headshot: Rifle charge rate increased by %s%"
"Attrib_MultSniperChargePenalty"			"Base charge rate decreased by %s%"
"Attrib_MultDmgBonusWhileHalfDead"			"%s% increase in damage when health <50% of max"
"Attrib_MultDmgPenaltyWhileHalfAlive"		"%s% decrease in damage when health >50% of max"
"Attrib_Medigun_MegaHeal"					"ÜberCharge increases healing to 300% and grants immunity to movement-impairing effects"
"Attrib_Medigun_Resists"					"Press your reload key to cycle through resist types.\nWhile healing, provides you and your target with a constant 10% resistance to the selected damage type."
"Attrib_MedicKilledRevenge"					"When the medic healing you is killed you\ngain 2 revenge crits"
"Attrib_MedicKilledMiniCritBoost"			"When the medic healing you is killed\nyou gain mini-crit boost for %s seconds"
"Attrib_MedicHealedDamageBonus"				"While a medic is healing you,\nthis weapon's damage is increased by %s%"
"Attrib_MedicHealedDeployTimePenalty"		"While not being healed by a medic,\nyour weapon switch time is %s% longer"
"Attrib_MakersMark"							"Crafted by %s"
"Attrib_MinigunNoSpinSounds"				"Silent Killer: No barrel spin sound"
"Attrib_UberchargeRate_ForHealer"			"+%s% ÜberCharge rate for the medic healing you\nThis effect does not work in the respawn room"
"Attrib_ReloadTime_Decreased_While_Healed"	"%s% faster reload time while being healed"
"Attrib_MedicKilledMarkedForDeath"			"When the medic healing you is killed\nthe killer becomes Marked-For-Death"
"Attrib_RageOnHitPenalty"					"%s% rage lost on hit"
"Attrib_RageOnHitBonus"						"%s% rage gained on hit"
"Attrib_RageDamageBoost"					"Gains a damage bonus as rage increases, up to %s%"
"Attrib_RageOnDamage"						"Generate Rage by dealing damage. When fully charged, press the Special-Attack key to activate knockback."
"Attrib_ChargeTurnControl"					"+%s% increase in turning control while charging"
"Attrib_ChargeTurnControlFull"				"Full turning control while charging"
"Attrib_NoChargeImpactRange"				"Can deal charge impact damage at any range"
"Attrib_ChargeImpactDamageIncreased"		"+%s% increase in charge impact damage"
"Attrib_ChargeImpactDamageDecreased"		"%s% decrease in charge impact damage"
"Attrib_ChargeRechargeRateIncreased"		"+%s% increase in charge recharge rate"
"Attrib_AirDashCountIncreased"				"Grants Triple Jump while deployed.\nMelee attacks mini-crit while airborne."
"Attrib_SpeedBuffAlly"						"On Hit Teammate: Boosts both players' speed for several seconds"
"Attrib_DamageForceReduction"				"%s% reduction in push force taken from damage"
"Attrib_DamageForceIncrease"				"%s% increase in push force taken from damage"
"Attrib_DamageForceIncreaseString"			"Increase in push force taken from damage and airblast"
"Attrib_CloakRate"							"%s sec increase in time to cloak"
"Attrib_NoCloakWhenCloaked"					"No cloak meter from ammo boxes when invisible"
"Attrib_ReducedCloakFromAmmo"				"%s% cloak meter from ammo boxes"
"Attrib_AmmoBecomesHealth"					"Ammo collected from ammo boxes becomes health"
"Attrib_BootsFallingStomp"					"Deals 3x falling damage to the player you land on"
"Attrib_SaxxyAward"							"Winner: %s %s\n"
"Attrib_MemoryMakerAward"					"Saxxy Nominee: %s %s\n"
"Attrib_SeeEnemyHealth"						"Allows you to see enemy health"
"Attrib_HideEnemyHealth"					"Unable to see enemy health"
"Attrib_PowerupCharges"						"Currently holds %s charges"
"Attrib_PowerupMaxCharges"					"Holds a maximum of %s charges"
"Attrib_PowerupDuration"					"Each charge lasts %s seconds"
"Attrib_CritBoost"							"Consumable: Become Crit Boosted for 5 seconds\n(and double your sentry's firing speed)"
"Attrib_Ubercharge"							"Consumable: Become Übercharged for 5 seconds\n(and shield your sentry from damage)"
"Attrib_CancelFallingDamage"				"Wearer never takes falling damage"
"Attrib_EffectBarRechargeRateIncreased"		"+%s% increase in recharge rate"
"Attrib_MaxammoGrenades1_Increased"			"+%s% max misc ammo on wearer"
"Attrib_EnergyWeaponNoAmmo"					"Does not require ammo"
"Attrib_EnergyWeaponNoHurtBuilding"			"Deals only 20% damage to buildings"
"Attrib_EnergyWeaponChargedShot" 			"Alt-Fire: A charged shot that\nmini-crits players, sets them on fire\nand disables buildings for 4 sec"
"Attrib_EnergyWeaponPenetration" 			"Projectile penetrates enemy targets"
"Attrib_EnergyWeaponNoDeflect"				"Projectile cannot be deflected"
"Attrib_EngyBuildingHealthBonus"			"+%s% max building health"
"Attrib_EngyBuildingHealthPenalty"			"%s% max building health"
"Attrib_EngySentryDamageBonus"				"+%s% Sentry Gun damage bonus"
"Attrib_NoCritBoost"						"Cannot be crit boosted"
"Attrib_SniperOnlyFireZoomed"			"Cannot fire unless zoomed"
"Attrib_Penetration"					"Projectiles penetrate enemy players"
"Attrib_AmmoPerShot"					"Per Shot: -%s ammo"
"Attrib_OnHit_AddAmmo"					"On Hit: damage dealt is returned as ammo"
"Attrib_UseMetalAmmoType"				"Uses metal for ammo"
"Attrib_ExpirationDate"					"This item will expire on %s."
"Attrib_LoanerItemExpirationDate"		"This item will be removed when the associated contract is completed or deactivated."
"Attrib_DropPeriodComing"				"This item stops dropping on %s."
"Attrib_DropPeriodPast"					"This item stopped dropping on %s."
"Attrib_PreviewItem"					"Test Run - Cannot be traded, marketed, crafted, or modified"
"Attrib_LoanerItem"						"Loaner - Cannot be traded, marketed, crafted, or modified"
"Attrib_Sniper_FullChargeBonus"			"On Full Charge: +%s% damage per shot"
"Attrib_Sniper_NoHeadShot"				"No headshots when not fully charged"
"Attrib_NoReload"						"No reload necessary"
"Attrib_SniperFullChargePenetration"	"On Full Charge: Projectiles penetrate players"
"Attrib_DrawBeamWhenScoped"				"Uses laser sight"
"Attrib_Recall"							"Consumable: Instantly teleport to spawn"
"Attrib_SapperKillsCollectCrits"		"Gives one guaranteed critical hit for each\nbuilding destroyed with your sapper attached\nor backstab kill"
"Attrib_Sniper_FiresTracer"				"Fires tracer rounds"
"Attrib_ElectricalAirblast"				"Alt-Fire: Launches a projectile-consuming energy ball.  Costs 65 metal."
"Attrib_Unlimited"						"Unlimited use"
"Attrib_UberDurationBonus"				"Über duration increased %s seconds"
"Attrib_RefillAmmo"						"Consumable: Instantly refill all weapon clips and ammo"
"Attrib_FastReload"						"+%s% faster reload time"
"Attrib_BuffTime_Increased"				"+%s% buff duration"
"Attrib_BuildRateBonus"					"+%s% faster build speed"
"Attrib_AttackProjectiles"				"Bullets destroy rockets and grenades in-flight. Increased accuracy and frequency per-level."
"Attrib_AccurScalesDmg"					"Accuracy scales damage"
"Attrib_CurrencyBonus"					"+%s% bonus currency from packs"
"Attrib_RoboSapper"						"Increased robot Sapper radius and duration"
"Attrib_JumpHeightBonus"				"+%s% greater jump height when active"
"Attrib_AppliesSnareEffect"				"%s% movement speed on targets"
"Attrib_BuildingInstaUpgrade"			"Consumable: Instantly upgrade all buildings to max level"
"Attrib_BiDirectionalTP"				"Teleporters can be used in both directions"
"Attrib_AirBlastPushScale"				"+%s% airblast push force"
"Attrib_AirBlastVulnerabilityMultipier"	"%s% reduction in airblast vulnerability"
"Attrib_BombinomiconEffectOnDeath"		"Explode spectacularly on death"
"Attrib_CritKillWillGib"				"Killing an enemy with a critical hit will dismember your victim. Painfully."
"Attrib_SubtractVictimCloakOnHit"		"On Hit: Victim loses up to %s% cloak"
"Attrib_SubtractVictimMedigunChargeOnHit"	"On Hit: Victim loses up to %s% Medigun charge"
"Attrib_RevealCloakedVictimOnHit"		"On Hit Spy: Reveal cloaked Spy"
"Attrib_RevealDisguisedVictimOnHit"		"On Hit Spy: Reveal disguised Spy"
"Attrib_JarateBackstabber"				"When backstabbed: Jarate attacker"
"Attrib_SentryFireRate_Increased"		"+%s% sentry firing speed"
"Attrib_SentryRadius_Increased"			"+%s% sentry range"
"Attrib_DispenserRadius_Increased"		"+%s% dispenser range"
"Attrib_BatLaunchesOrnaments"			"Alt-Fire: Launches a festive ornament that shatters causing bleed"
"Attrib_FreezeBackstabVictim"			"Backstab turns victim to ice"
"Attrib_VictimsBecomeAsh"				"Victims turn to ash!"
"Attrib_EngyDisposableSentries"			"Build +%s additional disposable-sentry"
"Attrib_AltFireTeleportToSpawn"			"Press your reload key to choose to teleport to spawn or your exit teleporter"
"Attrib_CannotPickUpBuildings"			"Cannot carry buildings"
"Attrib_StunEnemiesWieldingSameWeapon"	"Stuns enemies who are also wielding this weapon"
"Attrib_TickleEnemiesWieldingSameWeapon"	"On Hit: Force enemies to laugh who are also wearing this item"
"Attrib_CritForcesLaugh"				"Critical hit forces victim to laugh"
"Attrib_MeltsInFire"					"Melts in fire, regenerates in %s seconds and by picking up ammo"
"Attrib_BecomeFireproofOnHitByFire"		"On Hit by Fire: Fireproof for 1 second and Afterburn immunity for %s seconds"
"Attrib_CritFromBehind"					"Always critical hit from behind"
"Attrib_CritDoesNoDamage"				"Critical hits do no damage"
"Attrib_AddJingleToFootsteps"			"Jingle all the way"
"Attrib_StunWaistHighAirborne"			"On Hit: If enemy's belt is at or above eye level,\nstun them for %s seconds"
"Attrib_DamageAllConnected"				"All players connected via Medigun beams are hit"
"Attrib_AimingNoFlinch"					"No flinching when aiming and fully charged"
"Attrib_AimingKnockbackResistance"		"Knockback reduced by %s% when aiming"
"Attrib_SniperAimingMoveSpeed_Decreased"	"%s% slower move speed when aiming"
"Attrib_RageGainOnKill"					"Gain Focus on kills and assists"	// Text is made for sniper only, fix this
//"Attrib_RageGainOnAssists"				""
"Attrib_ShotPenetration"				"Shots go through multiple enemies"
"Attrib_HeadshotDamageIncrease"			"Headshots deal an extra +%s% damage"
"Attrib_MysterySolvingTimeDecrease"		"Reduces mystery solving time by up to %s%"
"Attrib_DamageDone_Bodyshot_Negative"	"%s% damage on body shot"
"Attrib_SniperRageDisplayOnly"			"Press 'Reload' to activate focus\nIn Focus: +25% faster charge and no unscoping"
"Attrib_ExplosiveSniperShot"			"Increased headshot explosion radius and damage to nearby enemies"
"Attrib_MeleeRate_Positive"				"+%s% faster melee attack speed"
"Attrib_MeleeRate_Negative"				"%s% slower melee attack speed"
"Attrib_Penetration_Heavy"				"Bullets penetrate +%s enemies"
"Attrib_ArmorPiercing"					"Increase backstab damage against Giant Robots by %s%"
"Attrib_CannotPickUpIntelligence"		"Wearer cannot carry the intelligence briefcase or PASS Time JACK"
"Attrib_ChanceOfHungerDecrease"			"Reduces chance of hunger by up to %s%"
"Attrib_CannotBeBackstabbed"			"Cannot be backstabbed"
"Attrib_ShareConsumable"				"Using your Power Up Canteen will apply the same bonus effect to your heal target"
"Attrib_CritVsDisguised"				"100% critical hit vs disguised players"
"Attrib_CritVsNonBurning"				"100% critical hit vs non-burning players"
