// Attribute descriptions
"Attrib_ClipSize_Positive"					"+%s1% clip size"
"Attrib_HealOnKill"							"+%s1 health restored on kill"
"Attrib_NoSelfBlastDmg"						"No self inflicted blast damage taken"
"Attrib_Slow_Enemy_OnHit_Major"				"On Hit: Slow target movement by 40% for %s1s"
"Attrib_LimitedUse"							"This is a limited use item. Uses: %s1"
"Attrib_EventDate"							"Date Received: %s1"
"Attrib_GifterAccountID"					"\nGift from: %s1"
"Attrib_MvMLootReceiverAccountID"			"Awarded to %s1"
"Attrib_AttachedParticle"					"★ Unusual Effect: %s1"
"Attrib_SupplyCrateSeries"					"Crate Series #%s1"
"Attrib_PreserveUbercharge"					"On death up to %s1% of your stored\nÜberCharge is retained"
"Attrib_ReferencedItem"						"Contains: %s1"
"Attrib_Renamed"							"This item has been renamed.\nOriginal name: \"%s1\""
"Attrib_CustomDesc"							"This item has a user written description:"
"Attrib_Halloween_Item"						"This is a special Halloween %s1 item"
"Attrib_MapDonation"						"%s1-%s2"
"Attrib_NewUsersHelped"						"New Users Helped: %s1"
"Attrib_FiresHealingBolts"					"Fires special bolts that heal teammates and deal damage based on distance traveled"
"Attrib_EnablesAOEHeal"						"Alt-Fire: Applies a healing effect to all nearby teammates"
"Attrib_ChargeTime_Increase"				"%s1 sec increase in charge duration"
"Attrib_ChargeTime_Decrease"				"%s1 sec decrease in charge duration"
"Attrib_DropHealthPackOnKill"				"On Kill: A small health pack is dropped"
"Attrib_HitSelfOnMiss"						"On Miss: Hit yourself. Idiot."
"Attrib_DmgFromRanged_Reduced"				"%s1% damage from ranged sources while active"
"Attrib_DmgFromMelee_Increased"				"+%s1% damage from melee sources while active"
"Attrib_BlastDamageToSelf_Increased"		"+%s1% damage to self"
"Attrib_SetDamageType_Ignite"				"On Hit: target is engulfed in flames"
"Attrib_Minicrit_Vs_Burning_Player"			"100% mini-crits vs burning players"
"Attrib_TradableAfterDate"					"\nTradable After: %s1"
"Attrib_ToolEscrowUntilDate"				"Usable After: %s1"
"Attrib_Store_TradableAfterDate"			"Becomes Tradable After a Few Days"
"Attrib_Store_ToolEscrowUntilDate"			"Becomes Usable After a Few Days"
"Attrib_Store_IncludesSteamGiftPackage"		"( Includes Steam Gift Copy of \"%s1\" )"
"Attrib_Store_Purchased"					"Will Not Be Tradable, Marketable, or Usable in Crafting"
"Attrib_Sanguisuge"							"On Backstab: Absorbs the health from your victim"
"Attrib_Honorbound"							"Honorbound: Once drawn sheathing deals 50 damage to yourself unless it kills"
"Attrib_MarkForDeath"						"On Hit: One target at a time is Marked-For-Death, causing all damage taken to be mini-crits"
"Attrib_RestoreHealthOnKill"				"Gain %s1% of base health on kill"
"Attrib_MultSniperChargeAfterBodyshot"		"On Scoped Bodyshot: Rifle charge rate increased by %s1%"
"Attrib_MultSniperChargeAfterMiss"			"On Scoped Miss: Rifle charge rate decreased by %s1%"
"Attrib_MultSniperChargeAfterHeadshot"		"On Scoped Headshot: Rifle charge rate increased by %s1%"
"Attrib_MultSniperChargePenalty"			"Base charge rate decreased by %s1%"
"Attrib_MultDmgBonusWhileHalfDead"			"%s1% increase in damage when health <50% of max"
"Attrib_MultDmgPenaltyWhileHalfAlive"		"%s1% decrease in damage when health >50% of max"
"Attrib_Medigun_MegaHeal"					"ÜberCharge increases healing to 300% and grants immunity to movement-impairing effects"
"Attrib_Medigun_Resists"					"Press your reload key to cycle through resist types.\nWhile healing, provides you and your target with a constant 10% resistance to the selected damage type."
"Attrib_MedicKilledRevenge"					"When the medic healing you is killed you\ngain 2 revenge crits"
"Attrib_MedicKilledMiniCritBoost"			"When the medic healing you is killed\nyou gain mini-crit boost for %s1 seconds"
"Attrib_MedicHealedDamageBonus"				"While a medic is healing you,\nthis weapon's damage is increased by %s1%"
"Attrib_MedicHealedDeployTimePenalty"		"While not being healed by a medic,\nyour weapon switch time is %s1% longer"
"Attrib_MakersMark"							"Crafted by %s1"
"Attrib_MinigunNoSpinSounds"				"Silent Killer: No barrel spin sound"
"Attrib_UberchargeRate_ForHealer"			"+%s1% ÜberCharge rate for the medic healing you\nThis effect does not work in the respawn room"
"Attrib_ReloadTime_Decreased_While_Healed"	"%s1% faster reload time while being healed"
"Attrib_MedicKilledMarkedForDeath"			"When the medic healing you is killed\nthe killer becomes Marked-For-Death"
"Attrib_RageOnHitPenalty"					"%s1% rage lost on hit"
"Attrib_RageOnHitBonus"						"%s1% rage gained on hit"
"Attrib_RageDamageBoost"					"Gains a damage bonus as rage increases, up to %s1%"
"Attrib_RageOnDamage"						"Generate Rage by dealing damage. When fully charged, press the Special-Attack key to activate knockback."
"Attrib_ChargeTurnControl"					"+%s1% increase in turning control while charging"
"Attrib_ChargeTurnControlFull"				"Full turning control while charging"
"Attrib_NoChargeImpactRange"				"Can deal charge impact damage at any range"
"Attrib_ChargeImpactDamageIncreased"		"+%s1% increase in charge impact damage"
"Attrib_ChargeImpactDamageDecreased"		"%s1% decrease in charge impact damage"
"Attrib_ChargeRechargeRateIncreased"		"+%s1% increase in charge recharge rate"
"Attrib_AirDashCountIncreased"				"Grants Triple Jump while deployed.\nMelee attacks mini-crit while airborne."
"Attrib_SpeedBuffAlly"						"On Hit Teammate: Boosts both players' speed for several seconds"
"Attrib_DamageForceReduction"				"%s1% reduction in push force taken from damage"
"Attrib_DamageForceIncrease"				"%s1% increase in push force taken from damage"
"Attrib_DamageForceIncreaseString"			"Increase in push force taken from damage and airblast"
"Attrib_CloakRate"							"%s1 sec increase in time to cloak"
"Attrib_NoCloakWhenCloaked"					"No cloak meter from ammo boxes when invisible"
"Attrib_ReducedCloakFromAmmo"				"%s1% cloak meter from ammo boxes"
"Attrib_AmmoBecomesHealth"					"Ammo collected from ammo boxes becomes health"
"Attrib_BootsFallingStomp"					"Deals 3x falling damage to the player you land on"
"Attrib_SaxxyAward"							"Winner: %s1 %s2\n"
"Attrib_MemoryMakerAward"					"Saxxy Nominee: %s1 %s2\n"
"Attrib_SeeEnemyHealth"						"Allows you to see enemy health"
"Attrib_HideEnemyHealth"					"Unable to see enemy health"
"Attrib_PowerupCharges"						"Currently holds %s1 charges"
"Attrib_PowerupMaxCharges"					"Holds a maximum of %s1 charges"
"Attrib_PowerupDuration"					"Each charge lasts %s1 seconds"
"Attrib_CritBoost"							"Consumable: Become Crit Boosted for 5 seconds\n(and double your sentry's firing speed)"
"Attrib_Ubercharge"							"Consumable: Become Übercharged for 5 seconds\n(and shield your sentry from damage)"
"Attrib_CancelFallingDamage"				"Wearer never takes falling damage"
"Attrib_EffectBarRechargeRateIncreased"		"+%s1% increase in recharge rate"
"Attrib_MaxammoGrenades1_Increased"			"+%s1% max misc ammo on wearer"
"Attrib_EnergyWeaponNoAmmo"					"Does not require ammo"
"Attrib_EnergyWeaponNoHurtBuilding"			"Deals only 20% damage to buildings"
"Attrib_EnergyWeaponChargedShot" 			"Alt-Fire: A charged shot that\nmini-crits players, sets them on fire\nand disables buildings for 4 sec"
"Attrib_EnergyWeaponPenetration" 			"Projectile penetrates enemy targets"
"Attrib_EnergyWeaponNoDeflect"				"Projectile cannot be deflected"
"Attrib_EngyBuildingHealthBonus"			"+%s1% max building health"
"Attrib_EngyBuildingHealthPenalty"			"%s1% max building health"
"Attrib_EngySentryDamageBonus"				"+%s1% Sentry Gun damage bonus"
"Attrib_NoCritBoost"						"Cannot be crit boosted"
"Attrib_SniperOnlyFireZoomed"			"Cannot fire unless zoomed"
"Attrib_Penetration"					"Projectiles penetrate enemy players"
"Attrib_AmmoPerShot"					"Per Shot: -%s1 ammo"
"Attrib_OnHit_AddAmmo"					"On Hit: damage dealt is returned as ammo"
"Attrib_UseMetalAmmoType"				"Uses metal for ammo"
"Attrib_ExpirationDate"					"This item will expire on %s1."
"Attrib_LoanerItemExpirationDate"		"This item will be removed when the associated contract is completed or deactivated."
"Attrib_DropPeriodComing"				"This item stops dropping on %s1."
"Attrib_DropPeriodPast"					"This item stopped dropping on %s1."
"Attrib_PreviewItem"					"Test Run - Cannot be traded, marketed, crafted, or modified"
"Attrib_LoanerItem"						"Loaner - Cannot be traded, marketed, crafted, or modified"
"Attrib_Sniper_FullChargeBonus"			"On Full Charge: +%s1% damage per shot"
"Attrib_Sniper_NoHeadShot"				"No headshots when not fully charged"
"Attrib_NoReload"						"No reload necessary"
"Attrib_SniperFullChargePenetration"	"On Full Charge: Projectiles penetrate players"
"Attrib_DrawBeamWhenScoped"				"Uses laser sight"
"Attrib_Recall"							"Consumable: Instantly teleport to spawn"
"Attrib_SapperKillsCollectCrits"		"Gives one guaranteed critical hit for each\nbuilding destroyed with your sapper attached\nor backstab kill"
"Attrib_Sniper_FiresTracer"				"Fires tracer rounds"
"Attrib_ElectricalAirblast"				"Alt-Fire: Launches a projectile-consuming energy ball.  Costs 65 metal."
"Attrib_Unlimited"						"Unlimited use"
"Attrib_UberDurationBonus"				"Über duration increased %s1 seconds"
"Attrib_RefillAmmo"						"Consumable: Instantly refill all weapon clips and ammo"
"Attrib_FastReload"						"+%s1% faster reload time"
"Attrib_BuffTime_Increased"				"+%s1% buff duration"
"Attrib_BuildRateBonus"					"+%s1% faster build speed"
"Attrib_AttackProjectiles"				"Bullets destroy rockets and grenades in-flight. Increased accuracy and frequency per-level."
"Attrib_AccurScalesDmg"					"Accuracy scales damage"
"Attrib_CurrencyBonus"					"+%s1% bonus currency from packs"
"Attrib_RoboSapper"						"Increased robot Sapper radius and duration"
"Attrib_JumpHeightBonus"				"+%s1% greater jump height when active"
"Attrib_AppliesSnareEffect"				"%s1% movement speed on targets"
"Attrib_BuildingInstaUpgrade"			"Consumable: Instantly upgrade all buildings to max level"
"Attrib_BiDirectionalTP"				"Teleporters can be used in both directions"
"Attrib_AirBlastPushScale"				"+%s1% airblast push force"
"Attrib_AirBlastVulnerabilityMultipier"	"%s1% reduction in airblast vulnerability"
"Attrib_BombinomiconEffectOnDeath"		"Explode spectacularly on death"
"Attrib_CritKillWillGib"				"Killing an enemy with a critical hit will dismember your victim. Painfully."
"Attrib_SubtractVictimCloakOnHit"		"On Hit: Victim loses up to %s1% cloak"
"Attrib_SubtractVictimMedigunChargeOnHit"	"On Hit: Victim loses up to %s1% Medigun charge"
"Attrib_RevealCloakedVictimOnHit"		"On Hit Spy: Reveal cloaked Spy"
"Attrib_RevealDisguisedVictimOnHit"		"On Hit Spy: Reveal disguised Spy"
"Attrib_JarateBackstabber"				"When backstabbed: Jarate attacker"
"Attrib_SentryFireRate_Increased"		"+%s1% sentry firing speed"
"Attrib_SentryRadius_Increased"			"+%s1% sentry range"
"Attrib_DispenserRadius_Increased"		"+%s1% dispenser range"
"Attrib_BatLaunchesOrnaments"			"Alt-Fire: Launches a festive ornament that shatters causing bleed"
"Attrib_FreezeBackstabVictim"			"Backstab turns victim to ice"
"Attrib_VictimsBecomeAsh"				"Victims turn to ash!"
"Attrib_EngyDisposableSentries"			"Build +%s1 additional disposable-sentry"
"Attrib_AltFireTeleportToSpawn"			"Press your reload key to choose to teleport to spawn or your exit teleporter"
"Attrib_CannotPickUpBuildings"			"Cannot carry buildings"
"Attrib_StunEnemiesWieldingSameWeapon"	"Stuns enemies who are also wielding this weapon"
"Attrib_TickleEnemiesWieldingSameWeapon"	"On Hit: Force enemies to laugh who are also wearing this item"
"Attrib_CritForcesLaugh"				"Critical hit forces victim to laugh"
"Attrib_MeltsInFire"					"Melts in fire, regenerates in %s1 seconds and by picking up ammo"
"Attrib_BecomeFireproofOnHitByFire"		"On Hit by Fire: Fireproof for 1 second and Afterburn immunity for %s1 seconds"
"Attrib_CritFromBehind"					"Always critical hit from behind"
"Attrib_CritDoesNoDamage"				"Critical hits do no damage"
"Attrib_AddJingleToFootsteps"			"Jingle all the way"
"Attrib_StunWaistHighAirborne"			"On Hit: If enemy's belt is at or above eye level,\nstun them for %s1 seconds"
"Attrib_DamageAllConnected"				"All players connected via Medigun beams are hit"
"Attrib_AimingNoFlinch"					"No flinching when aiming and fully charged"
"Attrib_AimingKnockbackResistance"		"Knockback reduced by %s1% when aiming"
"Attrib_SniperAimingMoveSpeed_Decreased"	"%s1% slower move speed when aiming"
"Attrib_RageGainOnKill"					"Gain Focus on kills and assists"	// Text is made for sniper only, fix this
//"Attrib_RageGainOnAssists"				""
"Attrib_ShotPenetration"				"Shots go through multiple enemies"
"Attrib_HeadshotDamageIncrease"			"Headshots deal an extra +%s1% damage"
"Attrib_MysterySolvingTimeDecrease"		"Reduces mystery solving time by up to %s1%"
"Attrib_DamageDone_Bodyshot_Negative"	"%s1% damage on body shot"
"Attrib_SniperRageDisplayOnly"			"Press 'Reload' to activate focus\nIn Focus: +25% faster charge and no unscoping"
"Attrib_ExplosiveSniperShot"			"Increased headshot explosion radius and damage to nearby enemies"
"Attrib_MeleeRate_Positive"				"+%s1% faster melee attack speed"
"Attrib_MeleeRate_Negative"				"%s1% slower melee attack speed"
